Rank|Dyck Word|Characters Number
0|()|2
1|(())|4
2|((()))|6
3|(()())|6
4|(((())))|8
5|((()()))|8
6|((())())|8
7|(()(()))|8
8|(()()())|8
9|((((()))))|10
10|(((()())))|10
11|(((())()))|10
12|(((()))())|10
13|((()(())))|10
14|((()()()))|10
15|((()())())|10
16|((())(()))|10
17|((())()())|10
18|(()((())))|10
19|(()(()()))|10
20|(()(())())|10
21|(()()(()))|10
22|(()()()())|10
23|(((((())))))|12
24|((((()()))))|12
25|((((())())))|12
26|((((()))()))|12
27|((((())))())|12
28|(((()(()))))|12
29|(((()()())))|12
30|(((()())()))|12
31|(((()()))())|12
32|(((())(())))|12
33|(((())()()))|12
34|(((())())())|12
35|(((()))(()))|12
36|(((()))()())|12
37|((()((()))))|12
38|((()(()())))|12
39|((()(())()))|12
40|((()(()))())|12
41|((()()(())))|12
42|((()()()()))|12
43|((()()())())|12
44|((()())(()))|12
45|((()())()())|12
46|((())((())))|12
47|((())(()()))|12
48|((())(())())|12
49|((())()(()))|12
50|((())()()())|12
51|(()(((()))))|12
52|(()((()())))|12
53|(()((())()))|12
54|(()((()))())|12
55|(()(()(())))|12
56|(()(()()()))|12
57|(()(()())())|12
58|(()(())(()))|12
59|(()(())()())|12
60|(()()((())))|12
61|(()()(()()))|12
62|(()()(())())|12
63|(()()()(()))|12
64|(()()()()())|12
65|((((((()))))))|14
66|(((((()())))))|14
67|(((((())()))))|14
68|(((((()))())))|14
69|(((((())))()))|14
70|(((((()))))())|14
71|((((()(())))))|14
72|((((()()()))))|14
73|((((()())())))|14
74|((((()()))()))|14
75|((((()())))())|14
76|((((())(()))))|14
77|((((())()())))|14
78|((((())())()))|14
79|((((())()))())|14
80|((((()))(())))|14
81|((((()))()()))|14
82|((((()))())())|14
83|((((())))(()))|14
84|((((())))()())|14
85|(((()((())))))|14
86|(((()(()()))))|14
87|(((()(())())))|14
88|(((()(()))()))|14
89|(((()(())))())|14
90|(((()()(()))))|14
91|(((()()()())))|14
92|(((()()())()))|14
93|(((()()()))())|14
94|(((()())(())))|14
95|(((()())()()))|14
96|(((()())())())|14
97|(((()()))(()))|14
98|(((()()))()())|14
99|(((())((()))))|14
100|(((())(()())))|14
101|(((())(())()))|14
102|(((())(()))())|14
103|(((())()(())))|14
104|(((())()()()))|14
105|(((())()())())|14
106|(((())())(()))|14
107|(((())())()())|14
108|(((()))((())))|14
109|(((()))(()()))|14
110|(((()))(())())|14
111|(((()))()(()))|14
112|(((()))()()())|14
113|((()(((())))))|14
114|((()((()()))))|14
115|((()((())())))|14
116|((()((()))()))|14
117|((()((())))())|14
118|((()(()(()))))|14
119|((()(()()())))|14
120|((()(()())()))|14
121|((()(()()))())|14
122|((()(())(())))|14
123|((()(())()()))|14
124|((()(())())())|14
125|((()(()))(()))|14
126|((()(()))()())|14
127|((()()((()))))|14
128|((()()(()())))|14
129|((()()(())()))|14
130|((()()(()))())|14
131|((()()()(())))|14
132|((()()()()()))|14
133|((()()()())())|14
134|((()()())(()))|14
135|((()()())()())|14
136|((()())((())))|14
137|((()())(()()))|14
138|((()())(())())|14
139|((()())()(()))|14
140|((()())()()())|14
141|((())(((()))))|14
142|((())((()())))|14
143|((())((())()))|14
144|((())((()))())|14
145|((())(()(())))|14
146|((())(()()()))|14
147|((())(()())())|14
148|((())(())(()))|14
149|((())(())()())|14
150|((())()((())))|14
151|((())()(()()))|14
152|((())()(())())|14
153|((())()()(()))|14
154|((())()()()())|14
155|(()((((())))))|14
156|(()(((()()))))|14
157|(()(((())())))|14
158|(()(((()))()))|14
159|(()(((())))())|14
160|(()((()(()))))|14
161|(()((()()())))|14
162|(()((()())()))|14
163|(()((()()))())|14
164|(()((())(())))|14
165|(()((())()()))|14
166|(()((())())())|14
167|(()((()))(()))|14
168|(()((()))()())|14
169|(()(()((()))))|14
170|(()(()(()())))|14
171|(()(()(())()))|14
172|(()(()(()))())|14
173|(()(()()(())))|14
174|(()(()()()()))|14
175|(()(()()())())|14
176|(()(()())(()))|14
177|(()(()())()())|14
178|(()(())((())))|14
179|(()(())(()()))|14
180|(()(())(())())|14
181|(()(())()(()))|14
182|(()(())()()())|14
183|(()()(((()))))|14
184|(()()((()())))|14
185|(()()((())()))|14
186|(()()((()))())|14
187|(()()(()(())))|14
188|(()()(()()()))|14
189|(()()(()())())|14
190|(()()(())(()))|14
191|(()()(())()())|14
192|(()()()((())))|14
193|(()()()(()()))|14
194|(()()()(())())|14
195|(()()()()(()))|14
196|(()()()()()())|14
197|(((((((())))))))|16
198|((((((()()))))))|16
199|((((((())())))))|16
200|((((((()))()))))|16
201|((((((())))())))|16
202|((((((()))))()))|16
203|((((((())))))())|16
204|(((((()(()))))))|16
205|(((((()()())))))|16
206|(((((()())()))))|16
207|(((((()()))())))|16
208|(((((()())))()))|16
209|(((((()()))))())|16
210|(((((())(())))))|16
211|(((((())()()))))|16
212|(((((())())())))|16
213|(((((())()))()))|16
214|(((((())())))())|16
215|(((((()))(()))))|16
216|(((((()))()())))|16
217|(((((()))())()))|16
218|(((((()))()))())|16
219|(((((())))(())))|16
220|(((((())))()()))|16
221|(((((())))())())|16
222|(((((()))))(()))|16
223|(((((()))))()())|16
224|((((()((()))))))|16
225|((((()(()())))))|16
226|((((()(())()))))|16
227|((((()(()))())))|16
228|((((()(())))()))|16
229|((((()(()))))())|16
230|((((()()(())))))|16
231|((((()()()()))))|16
232|((((()()())())))|16
233|((((()()()))()))|16
234|((((()()())))())|16
235|((((()())(()))))|16
236|((((()())()())))|16
237|((((()())())()))|16
238|((((()())()))())|16
239|((((()()))(())))|16
240|((((()()))()()))|16
241|((((()()))())())|16
242|((((()())))(()))|16
243|((((()())))()())|16
244|((((())((())))))|16
245|((((())(()()))))|16
246|((((())(())())))|16
247|((((())(()))()))|16
248|((((())(())))())|16
249|((((())()(()))))|16
250|((((())()()())))|16
251|((((())()())()))|16
252|((((())()()))())|16
253|((((())())(())))|16
254|((((())())()()))|16
255|((((())())())())|16
256|((((())()))(()))|16
257|((((())()))()())|16
258|((((()))((()))))|16
259|((((()))(()())))|16
260|((((()))(())()))|16
261|((((()))(()))())|16
262|((((()))()(())))|16
263|((((()))()()()))|16
264|((((()))()())())|16
265|((((()))())(()))|16
266|((((()))())()())|16
267|((((())))((())))|16
268|((((())))(()()))|16
269|((((())))(())())|16
270|((((())))()(()))|16
271|((((())))()()())|16
272|(((()(((()))))))|16
273|(((()((()())))))|16
274|(((()((())()))))|16
275|(((()((()))())))|16
276|(((()((())))()))|16
277|(((()((()))))())|16
278|(((()(()(())))))|16
279|(((()(()()()))))|16
280|(((()(()())())))|16
281|(((()(()()))()))|16
282|(((()(()())))())|16
283|(((()(())(()))))|16
284|(((()(())()())))|16
285|(((()(())())()))|16
286|(((()(())()))())|16
287|(((()(()))(())))|16
288|(((()(()))()()))|16
289|(((()(()))())())|16
290|(((()(())))(()))|16
291|(((()(())))()())|16
292|(((()()((())))))|16
293|(((()()(()()))))|16
294|(((()()(())())))|16
295|(((()()(()))()))|16
296|(((()()(())))())|16
297|(((()()()(()))))|16
298|(((()()()()())))|16
299|(((()()()())()))|16
300|(((()()()()))())|16
301|(((()()())(())))|16
302|(((()()())()()))|16
303|(((()()())())())|16
304|(((()()()))(()))|16
305|(((()()()))()())|16
306|(((()())((()))))|16
307|(((()())(()())))|16
308|(((()())(())()))|16
309|(((()())(()))())|16
310|(((()())()(())))|16
311|(((()())()()()))|16
312|(((()())()())())|16
313|(((()())())(()))|16
314|(((()())())()())|16
315|(((()()))((())))|16
316|(((()()))(()()))|16
317|(((()()))(())())|16
318|(((()()))()(()))|16
