Rank|LRPT|Main Element|Arity|Is Canonical|Is Strictly Increasing|RPT Rank|Sequence Rank|Sequence Max Value
0|0|0|0|True|True|0|1|0
1|1|1|0|False|True|0|2|1
2|0(0)|0|1|True|True|1|3|0
3|2|2|0|False|True|0|4|2
4|0(1)|0|1|True|True|1|6|1
5|1(0)|1|1|False|True|1|5|1
6|0(0, 0)|0|2|True|False|3|7|0
7|3|3|0|False|True|0|8|3
8|0(0(0))|0|1|True|True|2|7|0
9|1(1)|1|1|False|True|1|10|1
10|2(0)|2|1|False|True|1|9|2
11|0(0, 1)|0|2|True|True|3|14|1
12|0(1, 0)|0|2|True|False|3|13|1
13|1(0, 0)|1|2|False|False|3|12|1
14|0(0, 0, 0)|0|3|True|False|8|15|0
15|4|4|0|False|True|0|16|4
16|0(2)|0|1|False|True|1|11|2
17|1(0(0))|1|1|False|True|2|12|1
18|2(1)|2|1|False|True|1|18|2
19|3(0)|3|1|False|True|1|17|3
20|0(0, 0(0))|0|2|True|True|7|15|0
21|0(1, 1)|0|2|True|False|3|25|1
22|1(0, 1)|1|2|False|True|3|23|1
23|0(0(0), 0)|0|2|True|False|6|15|0
24|1(1, 0)|1|2|False|False|3|22|1
25|2(0, 0)|2|2|False|False|3|21|2
26|0(0, 0, 1)|0|3|True|False|8|30|1
27|0(0, 1, 0)|0|3|True|False|8|29|1
28|0(1, 0, 0)|0|3|True|False|8|28|1
29|1(0, 0, 0)|1|3|False|False|8|27|1
30|0(0, 0, 0, 0)|0|4|True|False|22|31|0
31|5|5|0|False|True|0|32|5
32|0(0(1))|0|1|True|True|2|14|1
33|1(2)|1|1|False|True|1|19|2
34|2(0(0))|2|1|False|True|2|21|2
35|3(1)|3|1|False|True|1|34|3
36|4(0)|4|1|False|True|1|33|4
37|0(0, 2)|0|2|False|True|3|26|2
38|0(1, 0(0))|0|2|True|True|7|28|1
39|1(0, 0(0))|1|2|False|True|7|27|1
40|0(0(0), 1)|0|2|True|False|6|30|1
41|1(1, 1)|1|2|False|False|3|42|1
42|2(0, 1)|2|2|False|True|3|40|2
43|0(2, 0)|0|2|False|False|3|24|2
44|1(0(0), 0)|1|2|False|False|6|27|1
45|2(1, 0)|2|2|False|False|3|39|2
46|3(0, 0)|3|2|False|False|3|38|3
47|0(0, 0, 0(0))|0|3|True|False|21|31|0
48|0(0, 1, 1)|0|3|True|False|8|56|1
49|0(1, 0, 1)|0|3|True|False|8|54|1
50|1(0, 0, 1)|1|3|False|False|8|51|1
51|0(0, 0(0), 0)|0|3|True|False|20|31|0
52|0(1, 1, 0)|0|3|True|False|8|53|1
53|1(0, 1, 0)|1|3|False|False|8|50|1
54|0(0(0), 0, 0)|0|3|True|False|17|31|0
55|1(1, 0, 0)|1|3|False|False|8|49|1
56|2(0, 0, 0)|2|3|False|False|8|48|2
57|0(0, 0, 0, 1)|0|4|True|False|22|62|1
58|0(0, 0, 1, 0)|0|4|True|False|22|61|1
59|0(0, 1, 0, 0)|0|4|True|False|22|60|1
60|0(1, 0, 0, 0)|0|4|True|False|22|59|1
61|1(0, 0, 0, 0)|1|4|False|False|22|58|1
62|0(0, 0, 0, 0, 0)|0|5|True|False|64|63|0
63|6|6|0|False|True|0|64|6
64|0(1(0))|0|1|True|True|2|13|1
65|1(0(1))|1|1|False|True|2|23|1
66|2(2)|2|1|False|True|1|35|2
67|3(0(0))|3|1|False|True|2|38|3
68|4(1)|4|1|False|True|1|66|4
69|5(0)|5|1|False|True|1|65|5
70|0(0, 0(1))|0|2|True|True|7|30|1
71|0(1, 2)|0|2|True|True|3|46|2
72|1(0, 2)|1|2|False|True|3|43|2
73|0(0(0), 0(0))|0|2|True|False|16|31|0
74|1(1, 0(0))|1|2|False|True|7|49|1
75|2(0, 0(0))|2|2|False|True|7|48|2
76|0(2, 1)|0|2|False|False|3|45|2
77|1(0(0), 1)|1|2|False|False|6|51|1
78|2(1, 1)|2|2|False|False|3|75|2
79|3(0, 1)|3|2|False|True|3|73|3
80|0(0(1), 0)|0|2|True|False|6|29|1
81|1(2, 0)|1|2|False|False|3|41|2
82|2(0(0), 0)|2|2|False|False|6|48|2
83|3(1, 0)|3|2|False|False|3|72|3
84|4(0, 0)|4|2|False|False|3|71|4
85|0(0, 0, 2)|0|3|False|False|8|57|2
86|0(0, 1, 0(0))|0|3|True|True|21|60|1
87|0(1, 0, 0(0))|0|3|True|False|21|59|1
88|1(0, 0, 0(0))|1|3|False|False|21|58|1
89|0(0, 0(0), 1)|0|3|True|False|20|62|1
90|0(1, 1, 1)|0|3|True|False|8|100|1
91|1(0, 1, 1)|1|3|False|False|8|94|1
92|0(0(0), 0, 1)|0|3|True|False|17|62|1
93|1(1, 0, 1)|1|3|False|False|8|92|1
94|2(0, 0, 1)|2|3|False|False|8|89|2
95|0(0, 2, 0)|0|3|False|False|8|55|2
96|0(1, 0(0), 0)|0|3|True|False|20|59|1
97|1(0, 0(0), 0)|1|3|False|False|20|58|1
98|0(0(0), 1, 0)|0|3|True|False|17|61|1
99|1(1, 1, 0)|1|3|False|False|8|91|1
100|2(0, 1, 0)|2|3|False|False|8|88|2
101|0(2, 0, 0)|0|3|False|False|8|52|2
102|1(0(0), 0, 0)|1|3|False|False|17|58|1
103|2(1, 0, 0)|2|3|False|False|8|87|2
104|3(0, 0, 0)|3|3|False|False|8|86|3
105|0(0, 0, 0, 0(0))|0|4|True|False|63|63|0
106|0(0, 0, 1, 1)|0|4|True|False|22|119|1
107|0(0, 1, 0, 1)|0|4|True|False|22|117|1
108|0(1, 0, 0, 1)|0|4|True|False|22|114|1
109|1(0, 0, 0, 1)|1|4|False|False|22|110|1
110|0(0, 0, 0(0), 0)|0|4|True|False|62|63|0
111|0(0, 1, 1, 0)|0|4|True|False|22|116|1
112|0(1, 0, 1, 0)|0|4|True|False|22|113|1
113|1(0, 0, 1, 0)|1|4|False|False|22|109|1
114|0(0, 0(0), 0, 0)|0|4|True|False|59|63|0
115|0(1, 1, 0, 0)|0|4|True|False|22|112|1
116|1(0, 1, 0, 0)|1|4|False|False|22|108|1
117|0(0(0), 0, 0, 0)|0|4|True|False|50|63|0
118|1(1, 0, 0, 0)|1|4|False|False|22|107|1
119|2(0, 0, 0, 0)|2|4|False|False|22|106|2
120|0(0, 0, 0, 0, 1)|0|5|True|False|64|126|1
121|0(0, 0, 0, 1, 0)|0|5|True|False|64|125|1
122|0(0, 0, 1, 0, 0)|0|5|True|False|64|124|1
123|0(0, 1, 0, 0, 0)|0|5|True|False|64|123|1
124|0(1, 0, 0, 0, 0)|0|5|True|False|64|122|1
