Rank|Pair|Length|Image Cardinality|Image|Is Strictly Increasing|Is RGF Sequence
0|(0, 0)|2|1|(0,)|False|True
1|(1, 0)|2|2|(0, 1)|False|True
2|(0, 1)|2|2|(0, 1)|True|True
3|(2, 0)|2|2|(0, 2)|False|False
4|(1, 1)|2|1|(1,)|False|True
5|(0, 2)|2|2|(0, 2)|True|False
6|(3, 0)|2|2|(0, 3)|False|False
7|(2, 1)|2|2|(1, 2)|False|False
8|(1, 2)|2|2|(1, 2)|True|True
9|(0, 3)|2|2|(0, 3)|True|False
10|(4, 0)|2|2|(0, 4)|False|False
11|(3, 1)|2|2|(1, 3)|False|False
12|(2, 2)|2|1|(2,)|False|False
13|(1, 3)|2|2|(1, 3)|True|False
14|(0, 4)|2|2|(0, 4)|True|False
15|(5, 0)|2|2|(0, 5)|False|False
16|(4, 1)|2|2|(1, 4)|False|False
17|(3, 2)|2|2|(2, 3)|False|False
18|(2, 3)|2|2|(2, 3)|True|False
19|(1, 4)|2|2|(1, 4)|True|False
20|(0, 5)|2|2|(0, 5)|True|False
21|(6, 0)|2|2|(0, 6)|False|False
22|(5, 1)|2|2|(1, 5)|False|False
23|(4, 2)|2|2|(2, 4)|False|False
24|(3, 3)|2|1|(3,)|False|False
25|(2, 4)|2|2|(2, 4)|True|False
26|(1, 5)|2|2|(1, 5)|True|False
27|(0, 6)|2|2|(0, 6)|True|False
28|(7, 0)|2|2|(0, 7)|False|False
29|(6, 1)|2|2|(1, 6)|False|False
30|(5, 2)|2|2|(2, 5)|False|False
31|(4, 3)|2|2|(3, 4)|False|False
32|(3, 4)|2|2|(3, 4)|True|False
33|(2, 5)|2|2|(2, 5)|True|False
34|(1, 6)|2|2|(1, 6)|True|False
35|(0, 7)|2|2|(0, 7)|True|False
36|(8, 0)|2|2|(0, 8)|False|False
37|(7, 1)|2|2|(1, 7)|False|False
38|(6, 2)|2|2|(2, 6)|False|False
39|(5, 3)|2|2|(3, 5)|False|False
40|(4, 4)|2|1|(4,)|False|False
41|(3, 5)|2|2|(3, 5)|True|False
42|(2, 6)|2|2|(2, 6)|True|False
43|(1, 7)|2|2|(1, 7)|True|False
44|(0, 8)|2|2|(0, 8)|True|False
45|(9, 0)|2|2|(0, 9)|False|False
46|(8, 1)|2|2|(1, 8)|False|False
47|(7, 2)|2|2|(2, 7)|False|False
48|(6, 3)|2|2|(3, 6)|False|False
49|(5, 4)|2|2|(4, 5)|False|False
50|(4, 5)|2|2|(4, 5)|True|False
51|(3, 6)|2|2|(3, 6)|True|False
52|(2, 7)|2|2|(2, 7)|True|False
53|(1, 8)|2|2|(1, 8)|True|False
54|(0, 9)|2|2|(0, 9)|True|False
55|(10, 0)|2|2|(0, 10)|False|False
56|(9, 1)|2|2|(1, 9)|False|False
57|(8, 2)|2|2|(2, 8)|False|False
58|(7, 3)|2|2|(3, 7)|False|False
59|(6, 4)|2|2|(4, 6)|False|False
60|(5, 5)|2|1|(5,)|False|False
61|(4, 6)|2|2|(4, 6)|True|False
62|(3, 7)|2|2|(3, 7)|True|False
63|(2, 8)|2|2|(2, 8)|True|False
64|(1, 9)|2|2|(1, 9)|True|False
65|(0, 10)|2|2|(0, 10)|True|False
66|(11, 0)|2|2|(0, 11)|False|False
67|(10, 1)|2|2|(1, 10)|False|False
68|(9, 2)|2|2|(2, 9)|False|False
69|(8, 3)|2|2|(3, 8)|False|False
70|(7, 4)|2|2|(4, 7)|False|False
71|(6, 5)|2|2|(5, 6)|False|False
72|(5, 6)|2|2|(5, 6)|True|False
73|(4, 7)|2|2|(4, 7)|True|False
74|(3, 8)|2|2|(3, 8)|True|False
75|(2, 9)|2|2|(2, 9)|True|False
76|(1, 10)|2|2|(1, 10)|True|False
77|(0, 11)|2|2|(0, 11)|True|False
78|(12, 0)|2|2|(0, 12)|False|False
79|(11, 1)|2|2|(1, 11)|False|False
80|(10, 2)|2|2|(2, 10)|False|False
81|(9, 3)|2|2|(3, 9)|False|False
82|(8, 4)|2|2|(4, 8)|False|False
83|(7, 5)|2|2|(5, 7)|False|False
84|(6, 6)|2|1|(6,)|False|False
85|(5, 7)|2|2|(5, 7)|True|False
86|(4, 8)|2|2|(4, 8)|True|False
87|(3, 9)|2|2|(3, 9)|True|False
88|(2, 10)|2|2|(2, 10)|True|False
89|(1, 11)|2|2|(1, 11)|True|False
90|(0, 12)|2|2|(0, 12)|True|False
91|(13, 0)|2|2|(0, 13)|False|False
92|(12, 1)|2|2|(1, 12)|False|False
93|(11, 2)|2|2|(2, 11)|False|False
94|(10, 3)|2|2|(3, 10)|False|False
95|(9, 4)|2|2|(4, 9)|False|False
96|(8, 5)|2|2|(5, 8)|False|False
97|(7, 6)|2|2|(6, 7)|False|False
98|(6, 7)|2|2|(6, 7)|True|False
