Rank|Sequence|Rank as bits|Sum|Adjusted sum|Length|Rank in adjusted sum and length class|Image cardinality|Image|Is strictly increasing|Is RGF sequence
0|()|(0,)|0|0|0|0|0|()|True|True
1|(0,)|(1,)|0|1|1|0|1|(0,)|True|True
2|(1,)|(1, 0)|1|2|1|0|1|(1,)|True|False
3|(0, 0)|(1, 1)|0|2|2|0|1|(0,)|False|True
4|(2,)|(1, 0, 0)|2|3|1|0|1|(2,)|True|False
5|(1, 0)|(1, 0, 1)|1|3|2|0|2|(0, 1)|False|False
6|(0, 1)|(1, 1, 0)|1|3|2|1|2|(0, 1)|True|True
7|(0, 0, 0)|(1, 1, 1)|0|3|3|0|1|(0,)|False|True
8|(3,)|(1, 0, 0, 0)|3|4|1|0|1|(3,)|True|False
9|(2, 0)|(1, 0, 0, 1)|2|4|2|0|2|(0, 2)|False|False
10|(1, 1)|(1, 0, 1, 0)|2|4|2|1|1|(1,)|False|False
11|(0, 2)|(1, 0, 1, 1)|2|4|2|2|2|(0, 2)|True|False
12|(1, 0, 0)|(1, 1, 0, 0)|1|4|3|0|2|(0, 1)|False|False
13|(0, 1, 0)|(1, 1, 0, 1)|1|4|3|1|2|(0, 1)|False|True
14|(0, 0, 1)|(1, 1, 1, 0)|1|4|3|2|2|(0, 1)|False|True
15|(0, 0, 0, 0)|(1, 1, 1, 1)|0|4|4|0|1|(0,)|False|True
16|(4,)|(1, 0, 0, 0, 0)|4|5|1|0|1|(4,)|True|False
17|(3, 0)|(1, 0, 0, 0, 1)|3|5|2|0|2|(0, 3)|False|False
18|(2, 1)|(1, 0, 0, 1, 0)|3|5|2|1|2|(1, 2)|False|False
19|(1, 2)|(1, 0, 0, 1, 1)|3|5|2|2|2|(1, 2)|True|False
20|(0, 3)|(1, 0, 1, 0, 0)|3|5|2|3|2|(0, 3)|True|False
21|(2, 0, 0)|(1, 0, 1, 0, 1)|2|5|3|0|2|(0, 2)|False|False
22|(1, 1, 0)|(1, 0, 1, 1, 0)|2|5|3|1|2|(0, 1)|False|False
23|(1, 0, 1)|(1, 0, 1, 1, 1)|2|5|3|2|2|(0, 1)|False|False
24|(0, 2, 0)|(1, 1, 0, 0, 0)|2|5|3|3|2|(0, 2)|False|False
25|(0, 1, 1)|(1, 1, 0, 0, 1)|2|5|3|4|2|(0, 1)|False|True
26|(0, 0, 2)|(1, 1, 0, 1, 0)|2|5|3|5|2|(0, 2)|False|False
27|(1, 0, 0, 0)|(1, 1, 0, 1, 1)|1|5|4|0|2|(0, 1)|False|False
28|(0, 1, 0, 0)|(1, 1, 1, 0, 0)|1|5|4|1|2|(0, 1)|False|True
29|(0, 0, 1, 0)|(1, 1, 1, 0, 1)|1|5|4|2|2|(0, 1)|False|True
30|(0, 0, 0, 1)|(1, 1, 1, 1, 0)|1|5|4|3|2|(0, 1)|False|True
31|(0, 0, 0, 0, 0)|(1, 1, 1, 1, 1)|0|5|5|0|1|(0,)|False|True
32|(5,)|(1, 0, 0, 0, 0, 0)|5|6|1|0|1|(5,)|True|False
33|(4, 0)|(1, 0, 0, 0, 0, 1)|4|6|2|0|2|(0, 4)|False|False
34|(3, 1)|(1, 0, 0, 0, 1, 0)|4|6|2|1|2|(1, 3)|False|False
35|(2, 2)|(1, 0, 0, 0, 1, 1)|4|6|2|2|1|(2,)|False|False
36|(1, 3)|(1, 0, 0, 1, 0, 0)|4|6|2|3|2|(1, 3)|True|False
37|(0, 4)|(1, 0, 0, 1, 0, 1)|4|6|2|4|2|(0, 4)|True|False
38|(3, 0, 0)|(1, 0, 0, 1, 1, 0)|3|6|3|0|2|(0, 3)|False|False
39|(2, 1, 0)|(1, 0, 0, 1, 1, 1)|3|6|3|1|3|(0, 1, 2)|False|False
40|(2, 0, 1)|(1, 0, 1, 0, 0, 0)|3|6|3|2|3|(0, 1, 2)|False|False
41|(1, 2, 0)|(1, 0, 1, 0, 0, 1)|3|6|3|3|3|(0, 1, 2)|False|False
42|(1, 1, 1)|(1, 0, 1, 0, 1, 0)|3|6|3|4|1|(1,)|False|False
43|(1, 0, 2)|(1, 0, 1, 0, 1, 1)|3|6|3|5|3|(0, 1, 2)|False|False
44|(0, 3, 0)|(1, 0, 1, 1, 0, 0)|3|6|3|6|2|(0, 3)|False|False
45|(0, 2, 1)|(1, 0, 1, 1, 0, 1)|3|6|3|7|3|(0, 1, 2)|False|False
46|(0, 1, 2)|(1, 0, 1, 1, 1, 0)|3|6|3|8|3|(0, 1, 2)|True|True
47|(0, 0, 3)|(1, 0, 1, 1, 1, 1)|3|6|3|9|2|(0, 3)|False|False
48|(2, 0, 0, 0)|(1, 1, 0, 0, 0, 0)|2|6|4|0|2|(0, 2)|False|False
49|(1, 1, 0, 0)|(1, 1, 0, 0, 0, 1)|2|6|4|1|2|(0, 1)|False|False
50|(1, 0, 1, 0)|(1, 1, 0, 0, 1, 0)|2|6|4|2|2|(0, 1)|False|False
51|(1, 0, 0, 1)|(1, 1, 0, 0, 1, 1)|2|6|4|3|2|(0, 1)|False|False
52|(0, 2, 0, 0)|(1, 1, 0, 1, 0, 0)|2|6|4|4|2|(0, 2)|False|False
53|(0, 1, 1, 0)|(1, 1, 0, 1, 0, 1)|2|6|4|5|2|(0, 1)|False|True
54|(0, 1, 0, 1)|(1, 1, 0, 1, 1, 0)|2|6|4|6|2|(0, 1)|False|True
55|(0, 0, 2, 0)|(1, 1, 0, 1, 1, 1)|2|6|4|7|2|(0, 2)|False|False
56|(0, 0, 1, 1)|(1, 1, 1, 0, 0, 0)|2|6|4|8|2|(0, 1)|False|True
57|(0, 0, 0, 2)|(1, 1, 1, 0, 0, 1)|2|6|4|9|2|(0, 2)|False|False
58|(1, 0, 0, 0, 0)|(1, 1, 1, 0, 1, 0)|1|6|5|0|2|(0, 1)|False|False
59|(0, 1, 0, 0, 0)|(1, 1, 1, 0, 1, 1)|1|6|5|1|2|(0, 1)|False|True
60|(0, 0, 1, 0, 0)|(1, 1, 1, 1, 0, 0)|1|6|5|2|2|(0, 1)|False|True
61|(0, 0, 0, 1, 0)|(1, 1, 1, 1, 0, 1)|1|6|5|3|2|(0, 1)|False|True
62|(0, 0, 0, 0, 1)|(1, 1, 1, 1, 1, 0)|1|6|5|4|2|(0, 1)|False|True
63|(0, 0, 0, 0, 0, 0)|(1, 1, 1, 1, 1, 1)|0|6|6|0|1|(0,)|False|True
64|(6,)|(1, 0, 0, 0, 0, 0, 0)|6|7|1|0|1|(6,)|True|False
65|(5, 0)|(1, 0, 0, 0, 0, 0, 1)|5|7|2|0|2|(0, 5)|False|False
66|(4, 1)|(1, 0, 0, 0, 0, 1, 0)|5|7|2|1|2|(1, 4)|False|False
67|(3, 2)|(1, 0, 0, 0, 0, 1, 1)|5|7|2|2|2|(2, 3)|False|False
68|(2, 3)|(1, 0, 0, 0, 1, 0, 0)|5|7|2|3|2|(2, 3)|True|False
69|(1, 4)|(1, 0, 0, 0, 1, 0, 1)|5|7|2|4|2|(1, 4)|True|False
70|(0, 5)|(1, 0, 0, 0, 1, 1, 0)|5|7|2|5|2|(0, 5)|True|False
71|(4, 0, 0)|(1, 0, 0, 0, 1, 1, 1)|4|7|3|0|2|(0, 4)|False|False
72|(3, 1, 0)|(1, 0, 0, 1, 0, 0, 0)|4|7|3|1|3|(0, 1, 3)|False|False
73|(3, 0, 1)|(1, 0, 0, 1, 0, 0, 1)|4|7|3|2|3|(0, 1, 3)|False|False
74|(2, 2, 0)|(1, 0, 0, 1, 0, 1, 0)|4|7|3|3|2|(0, 2)|False|False
75|(2, 1, 1)|(1, 0, 0, 1, 0, 1, 1)|4|7|3|4|2|(1, 2)|False|False
76|(2, 0, 2)|(1, 0, 0, 1, 1, 0, 0)|4|7|3|5|2|(0, 2)|False|False
77|(1, 3, 0)|(1, 0, 0, 1, 1, 0, 1)|4|7|3|6|3|(0, 1, 3)|False|False
78|(1, 2, 1)|(1, 0, 0, 1, 1, 1, 0)|4|7|3|7|2|(1, 2)|False|False
79|(1, 1, 2)|(1, 0, 0, 1, 1, 1, 1)|4|7|3|8|2|(1, 2)|False|False
80|(1, 0, 3)|(1, 0, 1, 0, 0, 0, 0)|4|7|3|9|3|(0, 1, 3)|False|False
81|(0, 4, 0)|(1, 0, 1, 0, 0, 0, 1)|4|7|3|10|2|(0, 4)|False|False
82|(0, 3, 1)|(1, 0, 1, 0, 0, 1, 0)|4|7|3|11|3|(0, 1, 3)|False|False
83|(0, 2, 2)|(1, 0, 1, 0, 0, 1, 1)|4|7|3|12|2|(0, 2)|False|False
84|(0, 1, 3)|(1, 0, 1, 0, 1, 0, 0)|4|7|3|13|3|(0, 1, 3)|True|False
85|(0, 0, 4)|(1, 0, 1, 0, 1, 0, 1)|4|7|3|14|2|(0, 4)|False|False
86|(3, 0, 0, 0)|(1, 0, 1, 0, 1, 1, 0)|3|7|4|0|2|(0, 3)|False|False
87|(2, 1, 0, 0)|(1, 0, 1, 0, 1, 1, 1)|3|7|4|1|3|(0, 1, 2)|False|False
88|(2, 0, 1, 0)|(1, 0, 1, 1, 0, 0, 0)|3|7|4|2|3|(0, 1, 2)|False|False
89|(2, 0, 0, 1)|(1, 0, 1, 1, 0, 0, 1)|3|7|4|3|3|(0, 1, 2)|False|False
90|(1, 2, 0, 0)|(1, 0, 1, 1, 0, 1, 0)|3|7|4|4|3|(0, 1, 2)|False|False
91|(1, 1, 1, 0)|(1, 0, 1, 1, 0, 1, 1)|3|7|4|5|2|(0, 1)|False|False
92|(1, 1, 0, 1)|(1, 0, 1, 1, 1, 0, 0)|3|7|4|6|2|(0, 1)|False|False
93|(1, 0, 2, 0)|(1, 0, 1, 1, 1, 0, 1)|3|7|4|7|3|(0, 1, 2)|False|False
94|(1, 0, 1, 1)|(1, 0, 1, 1, 1, 1, 0)|3|7|4|8|2|(0, 1)|False|False
95|(1, 0, 0, 2)|(1, 0, 1, 1, 1, 1, 1)|3|7|4|9|3|(0, 1, 2)|False|False
96|(0, 3, 0, 0)|(1, 1, 0, 0, 0, 0, 0)|3|7|4|10|2|(0, 3)|False|False
97|(0, 2, 1, 0)|(1, 1, 0, 0, 0, 0, 1)|3|7|4|11|3|(0, 1, 2)|False|False
