Rank|RPT|Degree|Is Strictly Increasing|Size|Dyck Word|Is Leaf
0|★|0|True|1|()|True
1|★(★)|1|True|2|(())|False
2|★(★(★))|1|True|3|((()))|False
3|★(★, ★)|2|False|3|(()())|False
4|★(★(★(★)))|1|True|4|(((())))|False
5|★(★(★, ★))|1|True|4|((()()))|False
6|★(★(★), ★)|2|False|4|((())())|False
7|★(★, ★(★))|2|True|4|(()(()))|False
8|★(★, ★, ★)|3|False|4|(()()())|False
9|★(★(★(★(★))))|1|True|5|((((()))))|False
10|★(★(★(★, ★)))|1|True|5|(((()())))|False
11|★(★(★(★), ★))|1|True|5|(((())()))|False
12|★(★(★(★)), ★)|2|False|5|(((()))())|False
13|★(★(★, ★(★)))|1|True|5|((()(())))|False
14|★(★(★, ★, ★))|1|True|5|((()()()))|False
15|★(★(★, ★), ★)|2|False|5|((()())())|False
16|★(★(★), ★(★))|2|False|5|((())(()))|False
17|★(★(★), ★, ★)|3|False|5|((())()())|False
18|★(★, ★(★(★)))|2|True|5|(()((())))|False
19|★(★, ★(★, ★))|2|True|5|(()(()()))|False
20|★(★, ★(★), ★)|3|False|5|(()(())())|False
21|★(★, ★, ★(★))|3|False|5|(()()(()))|False
22|★(★, ★, ★, ★)|4|False|5|(()()()())|False
23|★(★(★(★(★(★)))))|1|True|6|(((((())))))|False
24|★(★(★(★(★, ★))))|1|True|6|((((()()))))|False
25|★(★(★(★(★), ★)))|1|True|6|((((())())))|False
26|★(★(★(★(★)), ★))|1|True|6|((((()))()))|False
27|★(★(★(★(★))), ★)|2|False|6|((((())))())|False
28|★(★(★(★, ★(★))))|1|True|6|(((()(()))))|False
29|★(★(★(★, ★, ★)))|1|True|6|(((()()())))|False
30|★(★(★(★, ★), ★))|1|True|6|(((()())()))|False
31|★(★(★(★, ★)), ★)|2|False|6|(((()()))())|False
32|★(★(★(★), ★(★)))|1|True|6|(((())(())))|False
33|★(★(★(★), ★, ★))|1|True|6|(((())()()))|False
34|★(★(★(★), ★), ★)|2|False|6|(((())())())|False
35|★(★(★(★)), ★(★))|2|False|6|(((()))(()))|False
36|★(★(★(★)), ★, ★)|3|False|6|(((()))()())|False
37|★(★(★, ★(★(★))))|1|True|6|((()((()))))|False
38|★(★(★, ★(★, ★)))|1|True|6|((()(()())))|False
39|★(★(★, ★(★), ★))|1|True|6|((()(())()))|False
40|★(★(★, ★(★)), ★)|2|False|6|((()(()))())|False
41|★(★(★, ★, ★(★)))|1|True|6|((()()(())))|False
42|★(★(★, ★, ★, ★))|1|True|6|((()()()()))|False
43|★(★(★, ★, ★), ★)|2|False|6|((()()())())|False
44|★(★(★, ★), ★(★))|2|False|6|((()())(()))|False
45|★(★(★, ★), ★, ★)|3|False|6|((()())()())|False
46|★(★(★), ★(★(★)))|2|True|6|((())((())))|False
47|★(★(★), ★(★, ★))|2|True|6|((())(()()))|False
48|★(★(★), ★(★), ★)|3|False|6|((())(())())|False
49|★(★(★), ★, ★(★))|3|False|6|((())()(()))|False
50|★(★(★), ★, ★, ★)|4|False|6|((())()()())|False
51|★(★, ★(★(★(★))))|2|True|6|(()(((()))))|False
52|★(★, ★(★(★, ★)))|2|True|6|(()((()())))|False
53|★(★, ★(★(★), ★))|2|True|6|(()((())()))|False
54|★(★, ★(★(★)), ★)|3|False|6|(()((()))())|False
55|★(★, ★(★, ★(★)))|2|True|6|(()(()(())))|False
56|★(★, ★(★, ★, ★))|2|True|6|(()(()()()))|False
57|★(★, ★(★, ★), ★)|3|False|6|(()(()())())|False
58|★(★, ★(★), ★(★))|3|False|6|(()(())(()))|False
59|★(★, ★(★), ★, ★)|4|False|6|(()(())()())|False
60|★(★, ★, ★(★(★)))|3|False|6|(()()((())))|False
61|★(★, ★, ★(★, ★))|3|False|6|(()()(()()))|False
62|★(★, ★, ★(★), ★)|4|False|6|(()()(())())|False
63|★(★, ★, ★, ★(★))|4|False|6|(()()()(()))|False
64|★(★, ★, ★, ★, ★)|5|False|6|(()()()()())|False
65|★(★(★(★(★(★(★))))))|1|True|7|((((((()))))))|False
66|★(★(★(★(★(★, ★)))))|1|True|7|(((((()())))))|False
67|★(★(★(★(★(★), ★))))|1|True|7|(((((())()))))|False
68|★(★(★(★(★(★)), ★)))|1|True|7|(((((()))())))|False
69|★(★(★(★(★(★))), ★))|1|True|7|(((((())))()))|False
70|★(★(★(★(★(★)))), ★)|2|False|7|(((((()))))())|False
71|★(★(★(★(★, ★(★)))))|1|True|7|((((()(())))))|False
72|★(★(★(★(★, ★, ★))))|1|True|7|((((()()()))))|False
73|★(★(★(★(★, ★), ★)))|1|True|7|((((()())())))|False
74|★(★(★(★(★, ★)), ★))|1|True|7|((((()()))()))|False
75|★(★(★(★(★, ★))), ★)|2|False|7|((((()())))())|False
76|★(★(★(★(★), ★(★))))|1|True|7|((((())(()))))|False
77|★(★(★(★(★), ★, ★)))|1|True|7|((((())()())))|False
