name;category;font_case;font_family;font_variant;font_weight;latex_opening_tag;latex_content;latex_closing_tag;unicode_limited_content;unicode_extended_content
Greek alpha;letter;lowercase;serif;normal;regular;;\alpha;;alpha;α
Greek beta;letter;lowercase;serif;normal;regular;;\beta;;beta;β
Greek gamma;letter;lowercase;serif;normal;regular;;\gamma;;gamma;γ
Greek delta;letter;lowercase;serif;normal;regular;;\delta;;delta;δ
Greek epsilon;letter;lowercase;serif;normal;regular;;\epsilon;;epsilon;ε
Greek zeta;letter;lowercase;serif;normal;regular;;\zeta;;zeta;ζ
Greek eta;letter;lowercase;serif;normal;regular;;\eta;;eta;η
Greek theta;letter;lowercase;serif;normal;regular;;\theta;;theta;θ
Greek iota;letter;lowercase;serif;normal;regular;;\iota;;iota;ι
Greek kappa;letter;lowercase;serif;normal;regular;;\kappa;;kappa;κ
Greek lambda;letter;lowercase;serif;normal;regular;;\lambda;;lambda;λ
Greek mu;letter;lowercase;serif;normal;regular;;\mu;;mu;μ
Greek nu;letter;lowercase;serif;normal;regular;;\nu;;nu;ν
Greek xi;letter;lowercase;serif;normal;regular;;\xi;;xi;ξ
Greek omicron;letter;lowercase;serif;normal;regular;;\omicron;;omicron;ο
Greek pi;letter;lowercase;serif;normal;regular;;\pi;;pi;π
Greek rho;letter;lowercase;serif;normal;regular;;\rho;;rho;ρ
Greek sigma;letter;lowercase;serif;normal;regular;;\sigma;;sigma;σ
Greek tau;letter;lowercase;serif;normal;regular;;\tau;;tau;τ
Greek upsilon;letter;lowercase;serif;normal;regular;;\upsilon;;upsilon;υ
Greek phi;letter;lowercase;serif;normal;regular;;\phi;;phi;φ
Greek chi;letter;lowercase;serif;normal;regular;;\chi;;chi;χ
Greek psi;letter;lowercase;serif;normal;regular;;\psi;;psi;ψ
Greek omega;letter;lowercase;serif;normal;regular;;\omega;;omega;ω
Greek alpha;letter;lowercase;serif;normal;bold;\mathbf{;\alpha;};bold-alpha;𝛂
Greek beta;letter;lowercase;serif;normal;bold;\mathbf{;\beta;};bold-beta;𝛃
Greek gamma;letter;lowercase;serif;normal;bold;\mathbf{;\gamma;};bold-gamma;𝛄
Greek delta;letter;lowercase;serif;normal;bold;\mathbf{;\delta;};bold-delta;𝛅
Greek epsilon;letter;lowercase;serif;normal;bold;\mathbf{;\epsilon;};bold-epsilon;𝛆
Greek zeta;letter;lowercase;serif;normal;bold;\mathbf{;\zeta;};bold-zeta;𝛇
Greek eta;letter;lowercase;serif;normal;bold;\mathbf{;\eta;};bold-eta;𝛈
Greek theta;letter;lowercase;serif;normal;bold;\mathbf{;\theta;};bold-theta;𝛉
Greek iota;letter;lowercase;serif;normal;bold;\mathbf{;\iota;};bold-iota;𝛊
Greek kappa;letter;lowercase;serif;normal;bold;\mathbf{;\kappa;};bold-kappa;𝛋
